team,year,class,status,gender
Allegany,1997,4A,CH,Girls
Allegany,1998,4A,CH,Girls
Allegany,1988,4A,FN,Girls
Atholton,1987,4A,CH,Girls
Atholton,1988,4A,CH,Girls
Atholton,1989,4A,CH,Girls
Atholton,1986,4A,FN,Girls
Beall,2001,4A,FN,Girls
Bel Air,1975,4A,FN,Girls
Bel Air,2009,4A,FN,Girls
Bel Air,2010,4A,FN,Girls
Bel Air,2018,4A,FN,Girls
Bel Air,2019,4A,FN,Girls
Bethesda-Chevy Chase,1976,4A,CH,Girls
Bethesda-Chevy Chase,1977,4A,CH,Girls
Bethesda-Chevy Chase,1978,4A,CH,Girls
Bethesda-Chevy Chase,2002,4A,CH,Girls
Bethesda-Chevy Chase,2011,4A,CH,Girls
Bethesda-Chevy Chase,2012,4A,CH,Girls
Bethesda-Chevy Chase,1979,4A,FN,Girls
Bethesda-Chevy Chase,2013,4A,FN,Girls
Bethesda-Chevy Chase,2014,4A,FN,Girls
Montgomery Blair,1979,4A,FN,Girls
Bohemia Manor,2008,4A,CH,Girls
Bohemia Manor,2009,4A,CH,Girls
Bohemia Manor,2010,4A,CH,Girls
Bohemia Manor,2011,4A,CH,Girls
Bohemia Manor,2007,4A,FN,Girls
Bohemia Manor,2014,4A,FN,Girls
Boonsboro,1984,4A,CH,Girls
Boonsboro,1989,4A,CH,Girls
Boonsboro,1990,4A,CH,Girls
Boonsboro,1994,4A,CH,Girls
Boonsboro,1995,4A,CH,Girls
Boonsboro,2012,4A,CH,Girls
Boonsboro,2015,4A,CH,Girls
Boonsboro,2016,4A,CH,Girls
Boonsboro,2017,4A,CH,Girls
Boonsboro,2018,4A,CH,Girls
Boonsboro,1978,4A,FN,Girls
Boonsboro,1981,4A,FN,Girls
Boonsboro,1991,4A,FN,Girls
Boonsboro,1992,4A,FN,Girls
Boonsboro,1993,4A,FN,Girls
Boonsboro,2011,4A,FN,Girls
Bowie,1984,4A,FN,Girls
Broadneck,2002,4A,CH,Girls
Broadneck,2003,4A,CH,Girls
Broadneck,1998,4A,FN,Girls
Brunswick,1982,4A,CH,Girls
Brunswick,1983,4A,CH,Girls
Brunswick,1985,4A,CH,Girls
Brunswick,1991,4A,CH,Girls
Brunswick,1992,4A,CH,Girls
Brunswick,1993,4A,CH,Girls
Brunswick,1989,4A,FN,Girls
Brunswick,1990,4A,FN,Girls
Brunswick,2017,4A,FN,Girls
Brunswick,2018,4A,FN,Girls
Brunswick,2019,4A,FN,Girls
Calvert,2012,4A,CH,Girls
Cambridge/South Dorchester,2013,4A,CH,Girls
Catoctin,2016,4A,FN,Girls
Catonsville,1993,4A,CH,Girls
Catonsville,1994,4A,FN,Girls
Catonsville,1996,4A,FN,Girls
Catonsville,1999,4A,FN,Girls
Centennial,1990,4A,CH,Girls
Centennial,2013,4A,CH,Girls
Centennial,2015,4A,CH,Girls
Centennial,1987,4A,FN,Girls
Centennial,2012,4A,FN,Girls
Century,2009,4A,CH,Girls
Century,2010,4A,CH,Girls
Century,2011,4A,CH,Girls
Century,2005,4A,FN,Girls
Century,2007,4A,FN,Girls
Century,2008,4A,FN,Girls
Century,2015,4A,FN,Girls
Winston Churchill,1979,4A,CH,Girls
Winston Churchill,1991,4A,CH,Girls
Winston Churchill,1977,4A,FN,Girls
Winston Churchill,1978,4A,FN,Girls
Winston Churchill,1980,4A,FN,Girls
Winston Churchill,1985,4A,FN,Girls
Crossland,1982,4A,CH,Girls
Crossland,1983,4A,CH,Girls
Crossland,1981,4A,FN,Girls
Damascus,1994,4A,CH,Girls
Damascus,1995,4A,FN,Girls
Digital Harbor,2005,4A,FN,Girls
Dulaney,1981,4A,CH,Girls
